0	z iy r ow
same
samet
samjha
samjhae
samjhain
samjhane
samjhaya
samjhayen
samjhe
samjhi
samjhoo
samjhota
samnay
samne
samoe
samose
samoya
sandwich
sangbaari
sangeen
sanghary
sangsaar
sanihay
sanihon
sanish
sansein
sanson
sanwar
sanwle
saqafat
saqib
sar
sara
sarae
sarakke
sarbarah
sardi
sardiyon
sare
sareaam
sarfaraz
sargarmiyon
sarhad
sarhandi
sarhe
sarhne
sarkari
sarmaye
saron
sarsath
sartasath
sarwar
sarzameen
satanve
satarven
satassi
satawan
sath
sathi
sathiyon
sathra
sathyon
satke
satra
sattaiis
sattar
sattattar
satth
saturday
satwen
sau
saubaten
sauda
saudi
sauhbat
saula
saum
saunf
sauri
save
saw
sawa
sawab
sawad
sawal
sawara
sawera
sawerey
say
saya
sayah
sayahat
saye
sayed
sayer
says
sayyad
sayyada
sayyahat
sayyare
sayyaron
saza
sazaa
sazaein
saz-baaz
saz-o-samaan
school
schoolon
sciencedaanon
scores
script
se
season
sechehre
second
secondly
security
see
seedha
seedhe
seeing
seekh
seekha
seekhe
seekhen
seekhi
seekhnay
seekhne
seen
seengh
seer
seerat
seerhiyan
seerhyion
seesey
sehar
sehat
sehooni
seies
sekha
sekho
self
semee
seminar
senior
senkron
sennet
sentence
september
seraab
serial
series
servant
service
sesamic
session
set
seth
seven
seventeen
seventy
sewerage
sewing
sey
SH
shaadi
shaaey
shaakh
shaakhen
shaakhon
shaam
shaamil
shab
shade
shadeed
shadi
shadow
shaen
shaer
shafaf
shafique
shafqat
shagaaf
shagird
shagoofe
shagooni
shagufata
shagufon
shah
shahab
shahabiye
Shahbaz
shaheed
shaheen
Shahid
shahjahan
Shahnawaz
shahrah
Shahrah
shahsdar
shai
shaiqeen
shair
shajar
shakhs
shakhsana
shakhse
shakhshiyat
shal
shala
shaljam
shame
shamil
shamoliat
shampoo
shams
shamshad
shamsi
shanakht
shanakhti
shanasi
shandaar
shaole
shaoori
shaori
shape
share
shareef
shareefain
sharing
sharon
sharwadb
shash
shauba
shaukat
Shaukat
shaulon
shauq
shaur
shawahid
shawala
shayad
shayan
shayar
shazo
shcedule
she
shedai
sheen
sheer
sheereen
sheerey
sheeshey
sheeshon
shehar
shehri
shehrion
shehron
shehzad
shehzadi
Sheikh
shekhi
shell
shelter
shepherd
sher
sheraton
sherwaani
shibli
shidat
shield
shielden
shifaat
shikaar
shikar
shikayat
shirkat
shiya
shkhs
shobo
shoes
shohrat
shokh
shokhi
shool
shoon
shoqat
shor
short
shosha
should
show
showcason
shua
shuaon
shuar
shuara
shuba
shubhaat
shubhe
shuda
shudhy
shughal
shugoon
shujaat
shukar
shukariya
shukria
shumaar
shumariyat
shuneed
shuru
shuruvaat
shusta
shuyookh
shve
si
siddiqueen
side
sidhu
sidiqqique
sidra
siesmograph
sifar
sifer
Sigha
sign
sihoni
sikanjabeen
sikhon
silent
silsilay
silsilen
silver
sim
simaji
simdhi
similar
simple
simply
sin
sindhiyon
sindhu
sinf
singh
singhar
single
sion
sipahiyon
sipehar
sir
sirf
sister
siwa
six
sixteen
sixty
siyaasat
siyasat
ski
skoon
skta
skti
sljhayin
SLK
smajha
small
smith
smuggeleron
smuggling
snatch
snbhli
so
soach
sobai
sobers
soch
socha
soche
sochen
sochiye
sochnay
socho
sochon
social
socialism
society
sock
soda
soeym
soft
soghaat
soghwaar
sohbaton
sojnay
sokhta
sola
solan
soldier
soling
some
something
sometimes
sone
sonpi
sood
soojan
soojh
soojhi
sooji
sookh
sookha
sookhe
sookhi
sookhne
soongne
sooraj
soorakh
soorat
soorma
soowan
soozish
sorba
sorry
sou
soud
sound
sounded
sounds
south
soven
soviet
soya
soye
soyen
spanish
spasnamh
speakers
spell
spelling
spinning
spray
spurd
squad
squadron
srdkhane
ST
staduim
standard
start
station
sterling
stodnts
stores
story
student
students
studied
studios
study
suaad
suabi
suad
suani
sub
subah
subaye
subha
subhen
subon
subscribe
sudheer
sudhoor
sudhre
sudios
sufi
Sufia
sufiyana
sugar
sughar
sughra
suhaga
suhru
suiyan
suiyon
sujhai
sukhi
sukhn
sukoon
sula
sulah
suljhayin
sulphate
Sultan
sumroo
sun
sunaatey
sunaya
sune
sunen
sunghasan
suniye
sunnat
suno
sunta
sunwaatey
sunway
sunyein
super
supposed
suraiyya
suratehaal
sure
surf
surkh
surkhi
surkhial
surkhuroo
survey
surveyor
susraal
sust
suthra
suthre
suzuki
svoyn
sweaters
swedish
sweeter
swift
swimming
swing
swiss
switch
syasi
syed
symbol
symphony
syringen
system
t
T
T739285
taadaad
taaham
ta-ajub
taalib
taallah
taameer
taamul
taaqat
taaqub
taaruf
taawun
tabaeen
tabahi
tabassum
tabdeel
tabdeeli
tabdeelian
tabdeeliyon
tabee
tabish
tabiyyat
tableegh
tableeghi
tablo
tadaad
tadabeer
tadfeen
tadrees
taees
taentalis
taentees
taentis
tafarruqa
tafaul
tafawut
taffanun
Tafheem
tafreehi
tafteesh
tafteeshi
tafun
tafweez
taghaful
taghayyyur
taghluq
taghoti
tahaef
tahafuz
tahammul
tahayur
tahayya
tahien
taiese
taiyushat
taiz
tajarba
tajarbaat
tajarud
tajdaar
tajheez
tajir
tajiron
tajveez
Tajwar
tajweez
tajzia
tajziye
tajziyon
tak
takaluf
takayul
take
takeeza
takhalus
takheer
takhfeef
takhleeq
takhreeb
takmeel
takniki
talabay
talabb
talash
tale
taleed
taleem
taley
talk
talkh
talkhi
talkhiyan
talkhiyon
tallo
talmeehaat
talqon
taluq
taluqat
talwar
tamaam
tamam
tamanaon
tamashaiyon
tamaskhur
tamgha
tamghe
tamghon
tamhees
tanafuske
tanao
tanasub
tanavul
tanawo
tanaze
tanazia
tang
tangdasti
tanha
tank
tankeed
tanky
tanoli
tanqees
tanseekh
tanz
tanzeem
tanzuli
taooz
tapsara
taqalum
taqarrurari
taqddus
taqdeer
taqleel
taqreeba
taqreeban
taqseem
taqub
taqwiyat
taraf
tarah
tarajim
tarake
taraki
tarakiyat
taran
taraqi
tarashon
tarbiati
tareefen
tareekh
tareekhon
tareekhy
tareeqa
tareeqe
tarfs
targheeb
tarha
tarhee
tarjeeh
tarjeehat
tarjumaan
tarjumani
tarmeem
tarpan
tarrh
tarshol
tarweej
tarz
tarzefikr
tasaduq
tasahal
tasalsul
tasawar
tasawuf
tasdeeq
tasfiya
tasfiye
tashadud
tashakhus
tashanuj
tashayon
tashbeeh
tashbeehen
tashbiyat
tash-heer
tashkheesh
tashreef
tashweesh
task
taskheer
tasleem
tassavuraat
tasur
tasurat
tasveer
tasveeren
taufeeq
tauheen
tauhfatan
tauhmat
tauseef
tauseeh
tauseey
tauzeeh
tawajah
tawajau
tawaqa
tawaquaat
tawaza
tawazun
taweel
tawqaf
taxation
tayanaat
Tayyab
tayyaba
tayyaqun
tayyar
tayyun
tazabzub
tazeen
tazheeq
tazleel
tday
teacher
teaching
team
technicians
technologies
technology
tecno
tee
teen
teens
teergi
teeron
tees
teesray
tehattar
tehkekaat
tehqeeq
tehreek
tehreer
tehreeron
tehro
tehseel
tehseelon
tehwar
tehweel
tehzeeb
tehzeebi
telefare
telent
telephone
televesion
television
ten
tens
tension
tera
teranve
terassi
teray
tere
terha
terhan
terhe
teri
teser
test
tey
tez
tezi
tghalful
th
tha
thaam
thag
thai
thaiis
thaili
thaiwa
thak
thakur
thal
tham
thana
thanda
thanedaar
thank
thanka
thankhowa
thanks
thankyou
thanon
thar
tharey
that
thats
thay
the
theature
theek
theharnay
thehrao
their
thek
thekanay
thekedar
theknay
thele
them
theme
then
theory
thera
there
thes
these
thesis
they
thi
thikane
think
third
thirteen
thirty
this
thithar
thohar
thoons
thoosne
thora
thore
thori
thos
those
thotha
thousand
three
thresath
throat
through
thsildar
thu
thuday
thukra
thusa
ticha
tijarat
tijori
tijoriyan
time
tioilet
tip
tirchi
tirmaji
tissue
tndhi
to
today
tofel
together
toh
tohfa
tohfay
tohfon
tojeeh
told
toledy
toliye
tongue
too
toofan
tor
toren
tou
touham
tourism
tournament
tournaments
town
toyota
tozihat
trabunal
trade
trading
tragedy
trailer
train
tranffic
transaction
transfer
transformer
transistor
transmission
transparency
travelers
treasury
treattar
tree
trfin
tribyonl
trouser
trqyon
try
tsheeh
tsunami
tt
ttaentaliis
ttaentiis
ttey
ttuay
tu
tuaay
tube
tuey
tufaan
tufail
tughyani
tuk
tukham
tum
tumharay
tumhare
tumhari
tumhary
tumhatay
tumhe
turns
tution
twelve
twenty
two
tyaag
type
typhoid
tyyariyan
u
U
uamr
ubhar
ubhra
ubhrain
ubhre
ubhri
uboor
uchak
uchal
uchli
udaas
udhair
udhairne
udham
udhar
ufaq
uftada
ugaye
ugla
ugne
ujaarr
ujagar
ujhlat
ujhre
ujlat
ujrat
ujri
ukarvi
ukhaar
ukharna
ul
ulajh
ulfat
uljha
uljhan
uljhao
uljhen
uljhey
uljhi
ullul
uluqool
umar
umeed
umeedvar
umooman
umoor
umpire
umrein
un
unaasiwan
unasi
unattis
unchaas
unchas
under
underground
understand
unfinished
unghoota
unghoote
unghootiyan
ungli
ungoothi
unhattar
unhein
unho
unhon
unhoni
unidef
university
unko
unn
unnatees
unnattees
unnis
unsath
unsay
untaliis
untalis
unthak
until
unwaan
unwan
up
uper
uqaab
uqarba
ur
uraday
urane
uranium
uraya
uraye
urayen
urdu
urea
urf
urhe
urhne
urooj
urra
urrayin
urs
ursa
urun
us
usathwien
usay
use
used
user
ushaak
ushar
uska
uskay
uski
usko
usnay
uss
usse
ussi
ustaad
ustad
uth
utha
uthane
uthao
uthar
uthaun
uthaya
uthaye
uthayen
uthe
utheen
uthi
utho
uthwa
uuchaal
uzam
Uzbak
uzlaat
uzma
v
V
value
valvet
vamp
van
ved
veep
vera
verificaion
verification
verify
version
very
video
videos
vim
viral
virtual
virus
visa
vision
voller
voltage
volume
vores
vowel
w
W
waala
waali
waalid
wabai
wabaon
wada
waday
waderon
wadiyat
waeed
wafad
wafaon
wafir
wagarna
wages
waghera
wagon
waha
wahab
wahan
wahidmission
wahla
wahn
wain
waisay
waise
wait
waited
waiting
waja
wajah
wajdan
wajib
wajohaat
wala
walaikum
walaikumalsalam
walaikumsalam
walay
wald
wale
wali
walidain
walkium
walon
waloun
walvela
want
wapda
waq
waqai
waqat
waqaye
waqeye
waqfa
waqfe
waqfiyat
waqiyah
waqiyatan
waqt
waqua
waraij
ward
warguzaar
warzish
was
wasail
wasf
wasita
wasting
watan
watch
watching
watcing
watts
waves
way
wazan
wazeefa
wazeer
wazey
wazir
wazira
we
wears
web
website
wedding
weeji
wehshat
wehshi
wehshiana
welcome
welding
welfare
well
wells
went
were
werent
west
western
what
wheel
when
whenyou
where
which
while
who
whole
why
wicket
wifaaqi
wifaq
wife
wig
wildhood
will
windows
wing
wireless
with
without
wizarat
wlarus
wo
woh
wohi
women
wood
word
words
work
world
wow
wrestling
write
wrong
wufood
wujood
wujooh
wuqoof
wuqu
wusaton
wusooq
wuzara
x
X
y
Y
ya
yaad
yaani
yaar
yab
yaden
yae
yahan
yahi
yahudi
yakhni
yaksaan
yaksan
yalghamar
yalghar
yang
yaqeen
yaqeenan
yaqeeny
yaum
yazdani
ye
years
yeh
yehi
yellow
yes
ygangt
yoga
yoon
you
young
your
yuhin
z
Z
z18
zaad
zaahir
zaal
zaban
zabardast
Zaboon
zada
zaeef
zaheer
zahid
zahir
zahoor
zahrili
Zaib
zaid
zaidi
zail
zain
zair
zakhair
Zakheem
zakheera
zakhmi
zal
zalzala
zalzalay
zameen
zang
zanjeer
zankhon
zar
zaraat
zareefa
zareya
zariye
zarkhaiz
zaroor
zaroorat
zaroori
zarooriyat
zarra
zarye
zauf
zaviyon
zawal
zawar
zay
zaya
zayad
zayada
zayd
zebra
zed
zedong
zeeshan
zegham
zehan
zehar
zehni
zeng
zer
zerdast
zere
zereaab
zero
zewar
zewraat
zey
zhay
zhey
zich
zichgi
zid
ziest
zikar
zikr
zilai
zilla
zindagi
zirqyadt
zoajiat
zofashan
zoja
zojain
zone
zoodhiss
zoodkosh
zor
zouq
zrqavi
zuaad
zuaay
zuad
zuamma
zubaan
zuey
zufy
zuhar
zulaikha
zulfain
Zulfiqar
zuljalaal
zuljana
zulm
zumre
zyada
